NrFeat,Model,Step,train.isOptimal,validation.isOptimal,test.isOptimal
1,6,42,0.7167,0.6833,0.7035
1,6,43,0.7042,0.7000,0.6734
1,6,44,0.7125,0.7667,0.6834
1,6,45,0.7125,0.8167,0.6784
1,6,46,0.7125,0.7667,0.6482
1,6,47,0.7167,0.7500,0.6482
1,6,48,0.7292,0.7667,0.6482
1,6,49,0.7208,0.7833,0.6482
1,6,50,0.7208,0.8000,0.6482
1,6,51,0.7250,0.8000,0.6432
1,6,52,0.7167,0.8167,0.6482
1,6,53,0.7042,0.7500,0.6583
1,6,54,0.6958,0.7500,0.6533
1,6,55,0.7083,0.7000,0.7035
1,6,56,0.7042,0.6167,0.6784
1,6,57,0.6917,0.6333,0.6985
