Name,Shop,Distribution,Set,PID,NumJobs,NumMachines,Dimension,Makespan
j.rndn.6x5.train.285,j,rndn,train,285,6,5,30,517
j.rndn.6x5.train.286,j,rndn,train,286,6,5,30,443
j.rndn.6x5.train.287,j,rndn,train,287,6,5,30,497
j.rndn.6x5.train.288,j,rndn,train,288,6,5,30,400
j.rndn.6x5.train.289,j,rndn,train,289,6,5,30,475
j.rndn.6x5.train.290,j,rndn,train,290,6,5,30,452
j.rndn.6x5.train.291,j,rndn,train,291,6,5,30,446
j.rndn.6x5.train.292,j,rndn,train,292,6,5,30,499
j.rndn.6x5.train.293,j,rndn,train,293,6,5,30,459
j.rndn.6x5.train.294,j,rndn,train,294,6,5,30,457
j.rndn.6x5.train.295,j,rndn,train,295,6,5,30,453
j.rndn.6x5.train.296,j,rndn,train,296,6,5,30,500
j.rndn.6x5.train.297,j,rndn,train,297,6,5,30,461
j.rndn.6x5.train.298,j,rndn,train,298,6,5,30,510
j.rndn.6x5.train.299,j,rndn,train,299,6,5,30,506
j.rndn.6x5.train.300,j,rndn,train,300,6,5,30,454
j.rndn.6x5.train.301,j,rndn,train,301,6,5,30,359
j.rndn.6x5.train.302,j,rndn,train,302,6,5,30,393
j.rndn.6x5.train.303,j,rndn,train,303,6,5,30,513
j.rndn.6x5.train.304,j,rndn,train,304,6,5,30,456
j.rndn.6x5.train.305,j,rndn,train,305,6,5,30,439
j.rndn.6x5.train.306,j,rndn,train,306,6,5,30,506
j.rndn.6x5.train.307,j,rndn,train,307,6,5,30,506
j.rndn.6x5.train.308,j,rndn,train,308,6,5,30,510
j.rndn.6x5.train.309,j,rndn,train,309,6,5,30,477
j.rndn.6x5.train.310,j,rndn,train,310,6,5,30,511
j.rndn.6x5.train.311,j,rndn,train,311,6,5,30,502
j.rndn.6x5.train.312,j,rndn,train,312,6,5,30,413
j.rndn.6x5.train.313,j,rndn,train,313,6,5,30,402
j.rndn.6x5.train.314,j,rndn,train,314,6,5,30,400
j.rndn.6x5.train.315,j,rndn,train,315,6,5,30,405
j.rndn.6x5.train.316,j,rndn,train,316,6,5,30,510
j.rndn.6x5.train.317,j,rndn,train,317,6,5,30,413
j.rndn.6x5.train.318,j,rndn,train,318,6,5,30,466
j.rndn.6x5.train.319,j,rndn,train,319,6,5,30,460
j.rndn.6x5.train.320,j,rndn,train,320,6,5,30,409
j.rndn.6x5.train.321,j,rndn,train,321,6,5,30,464
j.rndn.6x5.train.322,j,rndn,train,322,6,5,30,464
j.rndn.6x5.train.323,j,rndn,train,323,6,5,30,491
j.rndn.6x5.train.324,j,rndn,train,324,6,5,30,445
j.rndn.6x5.train.325,j,rndn,train,325,6,5,30,370
j.rndn.6x5.train.326,j,rndn,train,326,6,5,30,399
j.rndn.6x5.train.327,j,rndn,train,327,6,5,30,448
j.rndn.6x5.train.328,j,rndn,train,328,6,5,30,450
j.rndn.6x5.train.329,j,rndn,train,329,6,5,30,364
j.rndn.6x5.train.330,j,rndn,train,330,6,5,30,409
j.rndn.6x5.train.331,j,rndn,train,331,6,5,30,406
j.rndn.6x5.train.332,j,rndn,train,332,6,5,30,464
j.rndn.6x5.train.333,j,rndn,train,333,6,5,30,405
j.rndn.6x5.train.334,j,rndn,train,334,6,5,30,454
j.rndn.6x5.train.335,j,rndn,train,335,6,5,30,451
j.rndn.6x5.train.336,j,rndn,train,336,6,5,30,408
j.rndn.6x5.train.337,j,rndn,train,337,6,5,30,503
j.rndn.6x5.train.338,j,rndn,train,338,6,5,30,462
j.rndn.6x5.train.339,j,rndn,train,339,6,5,30,455
j.rndn.6x5.train.340,j,rndn,train,340,6,5,30,413
j.rndn.6x5.train.341,j,rndn,train,341,6,5,30,567
j.rndn.6x5.train.342,j,rndn,train,342,6,5,30,408
j.rndn.6x5.train.343,j,rndn,train,343,6,5,30,463
j.rndn.6x5.train.344,j,rndn,train,344,6,5,30,541
j.rndn.6x5.train.345,j,rndn,train,345,6,5,30,496
j.rndn.6x5.train.346,j,rndn,train,346,6,5,30,491
j.rndn.6x5.train.347,j,rndn,train,347,6,5,30,464
j.rndn.6x5.train.348,j,rndn,train,348,6,5,30,452
j.rndn.6x5.train.349,j,rndn,train,349,6,5,30,407
j.rndn.6x5.train.350,j,rndn,train,350,6,5,30,410
j.rndn.6x5.train.351,j,rndn,train,351,6,5,30,396
j.rndn.6x5.train.352,j,rndn,train,352,6,5,30,409
j.rndn.6x5.train.353,j,rndn,train,353,6,5,30,454
j.rndn.6x5.train.354,j,rndn,train,354,6,5,30,406
j.rndn.6x5.train.355,j,rndn,train,355,6,5,30,508
j.rndn.6x5.train.356,j,rndn,train,356,6,5,30,449
j.rndn.6x5.train.357,j,rndn,train,357,6,5,30,451
j.rndn.6x5.train.358,j,rndn,train,358,6,5,30,442
j.rndn.6x5.train.359,j,rndn,train,359,6,5,30,437
j.rndn.6x5.train.360,j,rndn,train,360,6,5,30,445
j.rndn.6x5.train.361,j,rndn,train,361,6,5,30,411
j.rndn.6x5.train.362,j,rndn,train,362,6,5,30,491
j.rndn.6x5.train.363,j,rndn,train,363,6,5,30,405
j.rndn.6x5.train.364,j,rndn,train,364,6,5,30,415
j.rndn.6x5.train.365,j,rndn,train,365,6,5,30,457
j.rndn.6x5.train.366,j,rndn,train,366,6,5,30,442
j.rndn.6x5.train.367,j,rndn,train,367,6,5,30,462
j.rndn.6x5.train.368,j,rndn,train,368,6,5,30,389
j.rndn.6x5.train.369,j,rndn,train,369,6,5,30,359
j.rndn.6x5.train.370,j,rndn,train,370,6,5,30,514
j.rndn.6x5.train.371,j,rndn,train,371,6,5,30,444
j.rndn.6x5.train.372,j,rndn,train,372,6,5,30,455
j.rndn.6x5.train.373,j,rndn,train,373,6,5,30,408
j.rndn.6x5.train.374,j,rndn,train,374,6,5,30,460
j.rndn.6x5.train.375,j,rndn,train,375,6,5,30,401
j.rndn.6x5.train.376,j,rndn,train,376,6,5,30,411
j.rndn.6x5.train.377,j,rndn,train,377,6,5,30,365
j.rndn.6x5.train.378,j,rndn,train,378,6,5,30,392
j.rndn.6x5.train.379,j,rndn,train,379,6,5,30,448
j.rndn.6x5.train.380,j,rndn,train,380,6,5,30,495
j.rndn.6x5.train.381,j,rndn,train,381,6,5,30,448
j.rndn.6x5.train.382,j,rndn,train,382,6,5,30,447
j.rndn.6x5.train.383,j,rndn,train,383,6,5,30,399
j.rndn.6x5.train.384,j,rndn,train,384,6,5,30,402
j.rndn.6x5.train.385,j,rndn,train,385,6,5,30,503
j.rndn.6x5.train.386,j,rndn,train,386,6,5,30,455
j.rndn.6x5.train.387,j,rndn,train,387,6,5,30,418
j.rndn.6x5.train.388,j,rndn,train,388,6,5,30,496
j.rndn.6x5.train.389,j,rndn,train,389,6,5,30,409
j.rndn.6x5.train.390,j,rndn,train,390,6,5,30,471
j.rndn.6x5.train.391,j,rndn,train,391,6,5,30,454
