Name,Shop,Distribution,Set,PID,NumJobs,NumMachines,Dimension,Makespan
f.rnd.10x10.train.362,f,rnd,train,362,10,10,100,993
f.rnd.10x10.train.363,f,rnd,train,363,10,10,100,1162
f.rnd.10x10.train.364,f,rnd,train,364,10,10,100,1188
f.rnd.10x10.train.365,f,rnd,train,365,10,10,100,1157
f.rnd.10x10.train.366,f,rnd,train,366,10,10,100,1303
f.rnd.10x10.train.367,f,rnd,train,367,10,10,100,1171
f.rnd.10x10.train.368,f,rnd,train,368,10,10,100,1134
f.rnd.10x10.train.369,f,rnd,train,369,10,10,100,1188
f.rnd.10x10.train.370,f,rnd,train,370,10,10,100,1193
f.rnd.10x10.train.371,f,rnd,train,371,10,10,100,1249
f.rnd.10x10.train.372,f,rnd,train,372,10,10,100,1202
f.rnd.10x10.train.373,f,rnd,train,373,10,10,100,1306
f.rnd.10x10.train.374,f,rnd,train,374,10,10,100,1193
f.rnd.10x10.train.375,f,rnd,train,375,10,10,100,1165
f.rnd.10x10.train.376,f,rnd,train,376,10,10,100,1353
f.rnd.10x10.train.377,f,rnd,train,377,10,10,100,1169
f.rnd.10x10.train.378,f,rnd,train,378,10,10,100,1165
f.rnd.10x10.train.379,f,rnd,train,379,10,10,100,1327
f.rnd.10x10.train.380,f,rnd,train,380,10,10,100,1292
f.rnd.10x10.train.381,f,rnd,train,381,10,10,100,1105
f.rnd.10x10.train.382,f,rnd,train,382,10,10,100,1077
f.rnd.10x10.train.383,f,rnd,train,383,10,10,100,1042
f.rnd.10x10.train.384,f,rnd,train,384,10,10,100,1228
f.rnd.10x10.train.385,f,rnd,train,385,10,10,100,1140
f.rnd.10x10.train.386,f,rnd,train,386,10,10,100,1305
f.rnd.10x10.train.387,f,rnd,train,387,10,10,100,1184
f.rnd.10x10.train.388,f,rnd,train,388,10,10,100,1301
f.rnd.10x10.train.389,f,rnd,train,389,10,10,100,1128
f.rnd.10x10.train.390,f,rnd,train,390,10,10,100,1192
f.rnd.10x10.train.391,f,rnd,train,391,10,10,100,1372
f.rnd.10x10.train.392,f,rnd,train,392,10,10,100,1148
f.rnd.10x10.train.393,f,rnd,train,393,10,10,100,1086
f.rnd.10x10.train.394,f,rnd,train,394,10,10,100,1288
f.rnd.10x10.train.395,f,rnd,train,395,10,10,100,1152
f.rnd.10x10.train.396,f,rnd,train,396,10,10,100,1265
f.rnd.10x10.train.397,f,rnd,train,397,10,10,100,1241
f.rnd.10x10.train.398,f,rnd,train,398,10,10,100,1267
f.rnd.10x10.train.399,f,rnd,train,399,10,10,100,1122
f.rnd.10x10.train.400,f,rnd,train,400,10,10,100,1249
f.rnd.10x10.train.401,f,rnd,train,401,10,10,100,1198
f.rnd.10x10.train.402,f,rnd,train,402,10,10,100,1252
f.rnd.10x10.train.403,f,rnd,train,403,10,10,100,1270
f.rnd.10x10.train.404,f,rnd,train,404,10,10,100,1220
f.rnd.10x10.train.405,f,rnd,train,405,10,10,100,1182
f.rnd.10x10.train.406,f,rnd,train,406,10,10,100,1296
f.rnd.10x10.train.407,f,rnd,train,407,10,10,100,1148
f.rnd.10x10.train.408,f,rnd,train,408,10,10,100,1248
f.rnd.10x10.train.409,f,rnd,train,409,10,10,100,1256
f.rnd.10x10.train.410,f,rnd,train,410,10,10,100,1248
f.rnd.10x10.train.411,f,rnd,train,411,10,10,100,1237
f.rnd.10x10.train.412,f,rnd,train,412,10,10,100,1192
f.rnd.10x10.train.413,f,rnd,train,413,10,10,100,1315
f.rnd.10x10.train.414,f,rnd,train,414,10,10,100,1285
f.rnd.10x10.train.415,f,rnd,train,415,10,10,100,1161
f.rnd.10x10.train.416,f,rnd,train,416,10,10,100,1188
f.rnd.10x10.train.417,f,rnd,train,417,10,10,100,1320
f.rnd.10x10.train.418,f,rnd,train,418,10,10,100,1323
