PID,Step,Followed,ResultingOptMakespan,Rank,phi.proc,phi.startTime,phi.endTime,phi.jobOps,phi.arrivalTime,phi.totProc,phi.wait,phi.mac,phi.macOps,phi.macFree,phi.makespan,phi.step,phi.slotReduced,phi.slots,phi.slotsTotal,phi.wrmMac,phi.wrmJob,phi.wrmTotal
3,0,0,-9,-1,56,0,56,0,0,56,0,1,0,56,56,0,0,0,0,8,56,0
3,0,0,9,1,-56,0,-56,0,0,-56,0,-1,0,-56,-56,0,0,0,0,-8,-56,0
3,0,0,-9,-1,18,0,18,0,0,-15,0,-1,0,18,18,0,0,0,0,-105,-15,0
3,0,0,9,1,-18,0,-18,0,0,15,0,1,0,-18,-18,0,0,0,0,105,15,0
3,0,0,-9,-1,6,0,6,0,0,53,0,0,0,6,6,0,0,0,0,0,53,0
3,0,0,9,1,-6,0,-6,0,0,-53,0,0,0,-6,-6,0,0,0,0,0,-53,0
3,0,0,-16,-1,-17,0,-17,0,0,89,0,0,0,-17,-17,0,0,0,0,0,89,0
3,0,0,16,1,17,0,17,0,0,-89,0,0,0,17,17,0,0,0,0,0,-89,0
3,1,0,-18,-1,55,0,55,1,102,162,-102,-3,-1,55,55,0,-102,102,102,-21,60,0
3,1,0,18,1,-55,0,-55,-1,-102,-162,102,3,1,-55,-55,0,102,-102,-102,21,-60,0
3,1,1,-18,-1,62,-102,-40,0,0,109,-102,1,-1,-40,-25,0,0,0,0,110,109,0
3,1,1,18,1,-62,102,40,0,0,-109,102,-1,1,40,25,0,0,0,0,-110,-109,0
3,1,0,-18,-1,6,0,6,0,0,53,0,0,0,6,6,0,0,0,0,0,53,0
3,1,0,18,1,-6,0,-6,0,0,-53,0,0,0,-6,-6,0,0,0,0,0,-53,0
3,1,0,-18,-1,24,-102,-78,0,0,38,-102,-1,-1,-78,-25,0,0,0,0,-3,38,0
3,1,0,18,1,-24,102,78,0,0,-38,102,1,1,78,25,0,0,0,0,3,-38,0
3,1,0,-17,-1,-17,0,-17,0,0,89,0,0,0,-17,-17,0,0,0,0,0,89,0
3,1,0,17,1,17,0,17,0,0,-89,0,0,0,17,17,0,0,0,0,0,-89,0
3,2,1,-18,-1,55,0,55,1,102,162,-102,-3,-1,55,55,0,-102,102,102,-21,60,0
3,2,1,18,1,-55,0,-55,-1,-102,-162,102,3,1,-55,-55,0,102,-102,-102,21,-60,0
3,2,0,-18,-1,17,-15,2,1,87,109,-102,-1,-1,2,2,0,-87,87,87,-3,22,0
3,2,0,18,1,-17,15,-2,-1,-87,-109,102,1,1,-2,-2,0,87,-87,-87,3,-22,0
3,2,0,-18,-1,6,0,6,0,0,53,0,0,0,6,6,0,0,0,0,0,53,0
3,2,0,18,1,-6,0,-6,0,0,-53,0,0,0,-6,-6,0,0,0,0,0,-53,0
3,2,0,-18,-1,24,-102,-78,0,0,38,-102,-1,-1,-78,-25,0,0,0,0,-3,38,0
3,2,0,18,1,-24,102,78,0,0,-38,102,1,1,78,25,0,0,0,0,3,-38,0
3,2,0,-17,-1,-17,0,-17,0,0,89,0,0,0,-17,-17,0,0,0,0,0,89,0
3,2,0,17,1,17,0,17,0,0,-89,0,0,0,17,17,0,0,0,0,0,-89,0
3,3,0,-18,-1,17,-15,2,1,87,109,-102,-1,-1,2,0,0,-87,87,87,-3,22,0
3,3,0,18,1,-17,15,-2,-1,-87,-109,102,1,1,-2,0,0,87,-87,-87,3,-22,0
3,3,0,-18,-1,6,0,6,0,0,53,0,0,0,6,0,0,0,0,0,0,53,0
3,3,0,18,1,-6,0,-6,0,0,-53,0,0,0,-6,0,0,0,0,0,0,-53,0
3,3,0,-18,-1,24,-102,-78,0,0,38,-102,-1,-1,-78,0,0,0,0,0,-3,38,0
3,3,0,18,1,-24,102,78,0,0,-38,102,1,1,78,0,0,0,0,0,3,-38,0
3,3,0,-17,-1,-17,0,-17,0,0,89,0,0,0,-17,0,0,0,0,0,0,89,0
3,3,0,17,1,17,0,17,0,0,-89,0,0,0,17,0,0,0,0,0,0,-89,0
3,3,1,-106,-1,-82,-80,-162,-2,-182,-251,102,-1,0,-162,-124,0,95,-95,-95,-23,-69,0
3,3,1,106,1,82,80,162,2,182,251,-102,1,0,162,124,0,-95,95,95,23,69,0
3,20,1,-12,-1,-13,-109,-122,-3,-178,-251,69,-1,1,49,0,0,-13,25,13,-83,29,0
3,20,1,12,1,13,109,122,3,178,251,-69,1,-1,-49,0,0,13,-25,-13,83,-29,0
3,20,1,-12,-1,-14,-39,-53,0,-39,-53,0,-2,0,95,0,0,-14,98,14,-29,-14,0
3,20,1,12,1,14,39,53,0,39,53,0,2,0,-95,0,0,14,-98,-14,29,14,0
3,20,1,-12,-1,-15,-109,-124,-3,-122,-162,13,-1,1,49,0,0,-15,27,15,-83,135,0
3,20,1,12,1,15,109,124,3,122,162,-13,1,-1,-49,0,0,15,-27,-15,83,-135,0
4,0,1,-6,-1,-93,0,-93,0,0,-306,0,-1,0,-93,-93,0,0,0,0,150,-306,0
4,0,1,6,1,93,0,93,0,0,306,0,1,0,93,93,0,0,0,0,-150,306,0
4,0,1,-6,-1,-65,0,-65,0,0,-226,0,-3,0,-65,-65,0,0,0,0,269,-226,0
4,0,1,6,1,65,0,65,0,0,226,0,3,0,65,65,0,0,0,0,-269,226,0
4,0,1,-6,-1,-43,0,-43,0,0,-249,0,-4,0,-43,-43,0,0,0,0,18,-249,0
4,0,1,6,1,43,0,43,0,0,249,0,4,0,43,43,0,0,0,0,-18,249,0
4,0,1,-6,-1,-132,0,-132,0,0,-285,0,0,0,-132,-132,0,0,0,0,0,-285,0
4,0,1,6,1,132,0,132,0,0,285,0,0,0,132,132,0,0,0,0,0,285,0
4,0,1,-6,-1,-126,0,-126,0,0,-358,0,-2,0,-126,-126,0,0,0,0,-75,-358,0
4,0,1,6,1,126,0,126,0,0,358,0,2,0,126,126,0,0,0,0,75,358,0
4,1,0,-5,-1,39,-142,-103,0,0,-21,-142,-1,-1,-103,-10,0,0,0,0,292,-21,0
4,1,0,5,1,-39,142,103,0,0,21,142,1,1,103,10,0,0,0,0,-292,21,0
4,1,0,-5,-1,20,0,20,1,142,285,-142,-4,-1,20,20,0,-142,142,142,160,143,0
4,1,0,5,1,-20,0,-20,-1,-142,-285,142,4,1,-20,-20,0,142,-142,-142,-160,-143,0
4,1,0,-5,-1,67,-142,-75,0,0,59,-142,-3,-1,-75,-10,0,0,0,0,411,59,0
4,1,0,5,1,-67,142,75,0,0,-59,142,3,1,75,10,0,0,0,0,-411,-59,0
4,1,1,-5,-1,89,-142,-53,0,0,36,-142,-4,-1,-53,-10,0,0,0,0,160,36,0
4,1,1,5,1,-89,142,53,0,0,-36,142,4,1,53,10,0,0,0,0,-160,-36,0
4,1,0,-5,-1,6,-142,-136,0,0,-73,-142,-2,-1,-136,-10,0,0,0,0,67,-73,0
4,1,0,5,1,-6,142,136,0,0,73,142,2,1,136,10,0,0,0,0,-67,73,0
4,2,0,-5,-1,39,-142,-103,0,0,-21,-142,-1,-1,-103,-10,0,0,0,0,292,-21,0
4,2,0,5,1,-39,142,103,0,0,21,142,1,1,103,10,0,0,0,0,-292,21,0
4,2,0,-5,-1,20,0,20,1,142,285,-142,-4,0,20,20,0,-43,43,43,61,143,0
4,2,0,5,1,-20,0,-20,-1,-142,-285,142,4,0,-20,-20,0,43,-43,-43,-61,-143,0
4,2,0,-5,-1,67,-142,-75,0,0,59,-142,-3,-1,-75,-10,0,0,0,0,411,59,0
4,2,0,5,1,-67,142,75,0,0,-59,142,3,1,75,10,0,0,0,0,-411,-59,0
4,2,1,-5,-1,77,-43,34,1,99,36,-142,-3,-1,34,34,0,-99,99,99,411,-63,0
4,2,1,5,1,-77,43,-34,-1,-99,-36,142,3,1,-34,-34,0,99,-99,-99,-411,63,0
4,2,0,-5,-1,6,-142,-136,0,0,-73,-142,-2,-1,-136,-10,0,0,0,0,67,-73,0
4,2,0,5,1,-6,142,136,0,0,73,142,2,1,136,10,0,0,0,0,-67,73,0
4,3,0,-5,-1,39,-142,-103,0,0,-21,-142,-1,-1,-103,0,0,0,0,0,292,-21,0
4,3,0,5,1,-39,142,103,0,0,21,142,1,1,103,0,0,0,0,0,-292,21,0
4,3,0,-5,-1,20,0,20,1,142,285,-142,-4,0,20,0,0,-43,43,43,61,143,0
4,3,0,5,1,-20,0,-20,-1,-142,-285,142,4,0,-20,0,0,43,-43,-43,-61,-143,0
4,3,1,-5,-1,67,-142,-75,0,0,59,-142,-3,0,34,0,0,77,22,-77,324,59,0
4,3,1,5,1,-67,142,75,0,0,-59,142,3,0,-34,0,0,-77,-22,77,-324,-59,0
4,3,0,-5,-1,6,44,50,2,186,36,-142,-2,-1,50,16,0,-186,186,186,67,-150,0
4,3,0,5,1,-6,-44,-50,-2,-186,-36,142,2,1,-50,-16,0,186,-186,-186,-67,150,0
4,3,0,-5,-1,6,-142,-136,0,0,-73,-142,-2,-1,-136,0,0,0,0,0,67,-73,0
4,3,0,5,1,-6,142,136,0,0,73,142,2,1,136,0,0,0,0,0,-67,73,0
4,4,1,-5,-1,39,-142,-103,0,0,-21,-142,-1,-1,-103,0,0,0,0,0,292,-21,0
4,4,1,5,1,-39,142,103,0,0,21,142,1,1,103,0,0,0,0,0,-292,21,0
4,4,0,-5,-1,20,0,20,1,142,285,-142,-4,0,20,0,0,-43,43,43,61,143,0
4,4,0,5,1,-20,0,-20,-1,-142,-285,142,4,0,-20,0,0,43,-43,-43,-61,-143,0
4,4,0,-5,-1,29,-65,-36,1,77,59,-142,-1,-1,-36,0,0,-77,77,77,292,-18,0
