PID,Step,Dispatch,Followed,ResultingOptMakespan,Rank,phi.proc,phi.startTime,phi.endTime,phi.jobOps,phi.arrivalTime,phi.totProc,phi.wait,phi.mac,phi.macOps,phi.macFree,phi.makespan,phi.step,phi.slotReduced,phi.slots,phi.slotsTotal,phi.wrmMac,phi.wrmJob,phi.wrmTotal
2,15,2.0.147,1,510,2,52,147,199,1,0,252,147,0,4,199,341,16,0,0,493,152,252,760
2,15,3.0.147,0,507,1,55,147,202,1,0,254,147,0,4,202,341,16,0,0,493,152,254,760
2,15,4.0.147,0,499,0,45,147,192,1,0,254,147,0,4,192,341,16,0,0,493,152,254,760
2,16,2.1.199,1,510,0,54,199,253,2,199,252,0,1,4,253,341,17,-5,54,498,153,200,708
2,16,3.0.199,0,519,1,55,199,254,1,0,254,199,0,5,254,341,17,0,0,493,100,254,708
2,16,4.0.199,0,510,0,45,199,244,1,0,254,199,0,5,244,341,17,0,0,493,100,254,708
2,17,2.2.253,1,510,0,54,253,307,3,253,252,0,2,4,307,341,18,-10,114,508,158,146,654
2,17,3.0.199,0,519,1,55,199,254,1,0,254,199,0,5,254,341,18,0,0,498,100,254,654
2,17,4.0.199,0,510,0,45,199,244,1,0,254,199,0,5,244,341,18,0,0,498,100,254,654
2,18,2.3.307,1,510,0,45,307,352,4,307,252,0,3,4,352,352,19,-15,164,523,151,92,600
2,18,3.0.199,0,519,1,55,199,254,1,0,254,199,0,5,254,341,19,0,0,508,100,254,600
2,18,4.0.199,0,510,0,45,199,244,1,0,254,199,0,5,244,341,19,0,0,508,100,254,600
2,19,2.4.352,1,510,0,47,352,399,5,352,252,0,4,4,399,399,20,-11,202,534,146,47,555
2,19,3.0.199,0,519,1,55,199,254,1,0,254,199,0,5,254,352,20,0,0,523,100,254,555
2,19,4.0.199,0,510,0,45,199,244,1,0,254,199,0,5,244,352,20,0,0,523,100,254,555
2,20,3.0.199,1,519,1,55,199,254,1,0,254,199,0,5,254,399,21,0,0,534,100,254,508
2,20,4.0.199,0,510,0,45,199,244,1,0,254,199,0,5,244,399,21,0,0,534,100,254,508
2,21,3.1.254,1,519,0,46,254,300,2,254,254,0,1,5,300,399,22,-1,55,535,99,199,453
2,21,4.0.254,0,519,0,45,254,299,1,0,254,254,0,6,299,399,22,0,0,534,45,254,453
2,22,3.2.307,1,519,0,54,307,361,3,300,254,7,2,5,361,399,23,0,114,535,104,153,407
2,22,4.0.254,0,519,0,45,254,299,1,0,254,254,0,6,299,399,23,0,0,535,45,254,407
2,23,3.3.361,1,519,0,52,361,413,4,361,254,0,3,5,413,413,24,-9,173,544,106,99,353
2,23,4.0.254,0,519,0,45,254,299,1,0,254,254,0,6,299,399,24,0,0,535,45,254,353
2,24,3.4.413,1,519,0,47,413,460,5,413,254,0,4,5,460,460,25,-14,216,558,99,47,301
2,24,4.0.254,0,519,0,45,254,299,1,0,254,254,0,6,299,413,25,0,0,544,45,254,301
2,25,4.0.254,1,519,0,45,254,299,1,0,254,254,0,6,299,460,26,0,0,558,45,254,254
2,26,4.1.300,1,519,0,53,300,353,2,299,254,1,1,6,353,460,27,0,55,558,53,209,209
2,27,4.2.361,1,519,0,50,361,411,3,353,254,8,2,6,411,460,28,0,114,558,50,156,156
2,28,4.3.413,1,519,0,54,413,467,4,411,254,2,3,6,467,467,29,0,173,558,54,106,106
2,29,4.4.467,1,519,0,52,467,519,5,467,254,0,4,6,519,519,30,-7,223,565,52,52,52
3,0,0.0.0,1,499,1,47,0,47,1,0,233,0,0,1,47,47,1,0,0,0,288,233,1470
3,0,1.0.0,0,499,1,49,0,49,1,0,241,0,0,1,49,49,1,0,0,0,288,241,1470
3,0,2.0.0,0,501,2,46,0,46,1,0,255,0,0,1,46,46,1,0,0,0,288,255,1470
3,0,3.0.0,0,498,0,50,0,50,1,0,250,0,0,1,50,50,1,0,0,0,288,250,1470
3,0,4.0.0,0,499,1,47,0,47,1,0,248,0,0,1,47,47,1,0,0,0,288,248,1470
3,0,5.0.0,0,499,1,49,0,49,1,0,243,0,0,1,49,49,1,0,0,0,288,243,1470
3,1,0.1.47,1,499,0,46,47,93,2,47,233,0,1,1,93,93,2,-47,47,47,289,186,1423
3,1,1.0.47,0,500,1,49,47,96,1,0,241,47,0,2,96,96,2,0,0,0,241,241,1423
3,1,2.0.47,0,502,2,46,47,93,1,0,255,47,0,2,93,93,2,0,0,0,241,255,1423
3,1,3.0.47,0,499,0,50,47,97,1,0,250,47,0,2,97,97,2,0,0,0,241,250,1423
3,1,4.0.47,0,500,1,47,47,94,1,0,248,47,0,2,94,94,2,0,0,0,241,248,1423
3,1,5.0.47,0,500,1,49,47,96,1,0,243,47,0,2,96,96,2,0,0,0,241,243,1423
3,2,0.2.93,1,499,0,45,93,138,3,93,233,0,2,1,138,138,3,-93,93,140,293,140,1377
3,2,1.0.47,0,500,1,49,47,96,1,0,241,47,0,2,96,96,3,0,0,47,241,241,1377
3,2,2.0.47,0,502,2,46,47,93,1,0,255,47,0,2,93,93,3,0,0,47,241,255,1377
3,2,3.0.47,0,499,0,50,47,97,1,0,250,47,0,2,97,97,3,0,0,47,241,250,1377
3,2,4.0.47,0,500,1,47,47,94,1,0,248,47,0,2,94,94,3,0,0,47,241,248,1377
3,2,5.0.47,0,500,1,49,47,96,1,0,243,47,0,2,96,96,3,0,0,47,241,243,1377
3,3,0.3.138,1,499,0,49,138,187,4,138,233,0,3,1,187,187,4,-138,138,278,300,95,1332
3,3,1.0.47,0,500,1,49,47,96,1,0,241,47,0,2,96,138,4,0,0,140,241,241,1332
3,3,2.0.47,0,502,2,46,47,93,1,0,255,47,0,2,93,138,4,0,0,140,241,255,1332
3,3,3.0.47,0,499,0,50,47,97,1,0,250,47,0,2,97,138,4,0,0,140,241,250,1332
3,3,4.0.47,0,500,1,47,47,94,1,0,248,47,0,2,94,138,4,0,0,140,241,248,1332
3,3,5.0.47,0,500,1,49,47,96,1,0,243,47,0,2,96,138,4,0,0,140,241,243,1332
3,4,0.4.187,1,499,0,46,187,233,5,187,233,0,4,1,233,233,5,-187,187,465,300,46,1283
3,4,1.0.47,0,500,1,49,47,96,1,0,241,47,0,2,96,187,5,0,0,278,241,241,1283
3,4,2.0.47,0,502,2,46,47,93,1,0,255,47,0,2,93,187,5,0,0,278,241,255,1283
3,4,3.0.47,0,499,0,50,47,97,1,0,250,47,0,2,97,187,5,0,0,278,241,250,1283
3,4,4.0.47,0,500,1,47,47,94,1,0,248,47,0,2,94,187,5,0,0,278,241,248,1283
3,4,5.0.47,0,500,1,49,47,96,1,0,243,47,0,2,96,187,5,0,0,278,241,243,1283
3,5,1.0.47,1,500,1,49,47,96,1,0,241,47,0,2,96,233,6,0,0,465,241,241,1237
3,5,2.0.47,0,502,2,46,47,93,1,0,255,47,0,2,93,233,6,0,0,465,241,255,1237
3,5,3.0.47,0,499,0,50,47,97,1,0,250,47,0,2,97,233,6,0,0,465,241,250,1237
3,5,4.0.47,0,500,1,47,47,94,1,0,248,47,0,2,94,233,6,0,0,465,241,248,1237
3,5,5.0.47,0,500,1,49,47,96,1,0,243,47,0,2,96,233,6,0,0,465,241,243,1237
3,6,1.1.96,1,500,0,45,96,141,2,96,241,0,1,2,141,233,7,-3,50,468,243,192,1188
3,6,2.0.96,0,500,0,46,96,142,1,0,255,96,0,3,142,233,7,0,0,465,192,255,1188
3,6,3.0.96,0,502,2,50,96,146,1,0,250,96,0,3,146,233,7,0,0,465,192,250,1188
3,6,4.0.96,0,500,0,47,96,143,1,0,248,96,0,3,143,233,7,0,0,465,192,248,1188
