PID,Step,Dispatch,Followed,ResultingOptMakespan,Rank,phi.proc,phi.startTime,phi.endTime,phi.arrival,phi.wait,phi.macFree,phi.makespan,phi.reducedSlack,phi.macSlack,phi.allSlack,phi.jobOps,phi.macOps,phi.jobWrm,phi.macWrm,phi.jobTotProcTime,phi.macTotProcTime,xi.step,xi.totProcTime,xi.totWrm
1502,6,3.1.53,0,533,1,36,53,89,53,0,89,257,-53,53,53,2,1,131,398,139,398,7,1389,1132
1502,6,4.1.99,0,543,3,88,99,187,99,0,187,257,-99,99,99,2,1,195,398,241,398,7,1389,1132
1502,6,5.1.194,0,534,2,72,194,266,194,0,266,266,-194,194,194,2,1,274,398,369,398,7,1389,1132
1502,7,0.2.114,1,541,1,86,114,200,114,0,200,257,-114,114,154,3,1,150,266,264,266,8,1389,1058
1502,7,1.1.114,0,534,0,34,114,148,45,69,148,257,0,40,40,2,2,142,324,147,398,8,1389,1058
1502,7,2.1.257,0,647,3,94,257,351,257,0,351,351,-143,183,183,2,2,166,324,229,398,8,1389,1058
1502,7,3.1.114,0,534,0,36,114,150,53,61,150,257,0,40,40,2,2,131,324,139,398,8,1389,1058
1502,7,4.1.114,0,542,2,88,114,202,99,15,202,257,0,40,40,2,2,195,324,241,398,8,1389,1058
1502,7,5.1.194,0,534,0,72,194,266,194,0,266,266,-80,120,120,2,2,274,324,369,398,8,1389,1058
1502,8,0.3.200,1,541,0,62,200,262,200,0,262,262,-200,200,354,4,1,64,252,264,252,9,1389,972
1502,8,1.1.114,0,541,0,34,114,148,45,69,148,257,0,40,154,2,2,142,324,147,398,9,1389,972
1502,8,2.1.257,0,647,2,94,257,351,257,0,351,351,-143,183,297,2,2,166,324,229,398,9,1389,972
1502,8,3.1.114,0,541,0,36,114,150,53,61,150,257,0,40,154,2,2,131,324,139,398,9,1389,972
1502,8,4.1.114,0,542,1,88,114,202,99,15,202,257,0,40,154,2,2,195,324,241,398,9,1389,972
1502,8,5.1.194,0,541,0,72,194,266,194,0,266,266,-80,120,234,2,2,274,324,369,398,9,1389,972
1502,9,0.4.262,1,541,0,2,262,264,262,0,264,264,-262,262,616,5,1,2,216,264,216,10,1389,910
1502,9,1.1.114,0,541,0,34,114,148,45,69,148,262,0,40,354,2,2,142,324,147,398,10,1389,910
1502,9,2.1.257,0,647,2,94,257,351,257,0,351,351,-143,183,497,2,2,166,324,229,398,10,1389,910
1502,9,3.1.114,0,541,0,36,114,150,53,61,150,262,0,40,354,2,2,131,324,139,398,10,1389,910
1502,9,4.1.114,0,542,1,88,114,202,99,15,202,262,0,40,354,2,2,195,324,241,398,10,1389,910
1502,9,5.1.194,0,541,0,72,194,266,194,0,266,266,-80,120,434,2,2,274,324,369,398,10,1389,910
1502,10,1.1.114,1,541,0,34,114,148,45,69,148,264,0,40,616,2,2,142,324,147,398,11,1389,908
1502,10,2.1.257,0,647,2,94,257,351,257,0,351,351,-143,183,759,2,2,166,324,229,398,11,1389,908
1502,10,3.1.114,0,541,0,36,114,150,53,61,150,264,0,40,616,2,2,131,324,139,398,11,1389,908
1502,10,4.1.114,0,542,1,88,114,202,99,15,202,264,0,40,616,2,2,195,324,241,398,11,1389,908
1502,10,5.1.194,0,541,0,72,194,266,194,0,266,266,-80,120,696,2,2,274,324,369,398,11,1389,908
1502,11,1.2.200,1,541,0,27,200,227,148,52,227,264,0,114,616,3,2,108,180,147,266,12,1389,874
1502,11,2.1.257,0,647,2,94,257,351,257,0,351,351,-109,149,725,2,3,166,290,229,398,12,1389,874
1502,11,3.1.148,0,541,0,36,148,184,53,95,184,264,0,40,616,2,3,131,290,139,398,12,1389,874
1502,11,4.1.148,0,542,1,88,148,236,99,49,236,264,0,40,616,2,3,195,290,241,398,12,1389,874
