PID,Step,Rank,ResultingOptMakespan,Followed,phi.MWR,phi.LWR,phi.SPT,phi.LPT,phi.RNDmean,phi.RNDstd,phi.RNDmax,phi.RNDmin,sdr.MWR,sdr.LWR,sdr.SPT,sdr.LPT
2,3,-1,-2,0,-33,-2,-1,-2,-11,0,0,-2,1,1,1,0
2,3,1,2,0,33,2,1,2,11,0,0,2,1,1,1,0
2,4,-1,-2,0,-32,-2,-31,-1,-14,-4,-26,-2,1,1,0,1
2,4,1,2,0,32,2,31,1,14,4,26,2,1,1,0,1
2,4,-1,-2,0,-1,-2,-31,-32,-16,-3,-28,-2,0,1,0,1
2,4,1,2,0,1,2,31,32,16,3,28,2,0,1,0,1
2,4,-1,-2,0,-32,-2,-31,-32,-14,-2,-28,-3,1,1,0,1
2,4,1,2,0,32,2,31,32,14,2,28,3,1,1,0,1
2,4,-1,-2,1,-31,-2,-31,0,-2,0,0,-1,1,0,1,0
2,4,1,2,1,31,2,31,0,2,0,0,1,1,0,1,0
2,4,-1,-2,0,-33,-2,-1,-2,-13,-2,-4,-2,1,1,1,1
2,4,1,2,0,33,2,1,2,13,2,4,2,1,1,1,1
2,5,-1,-2,1,-32,-2,-31,-1,-13,-2,-25,-2,1,0,0,0
2,5,1,2,1,32,2,31,1,13,2,25,2,1,0,0,0
2,5,-1,-2,1,-1,-2,-31,-32,-13,-3,-28,-2,0,0,0,1
2,5,1,2,1,1,2,31,32,13,3,28,2,0,0,0,1
2,5,-1,-2,1,-32,-2,-31,-32,-12,-2,-27,-3,1,0,0,1
2,5,1,2,1,32,2,31,32,12,2,27,3,1,0,0,1
2,5,-1,-2,0,-33,-2,-1,-2,-10,-1,0,-2,1,1,1,0
2,5,1,2,0,33,2,1,2,10,1,0,2,1,1,1,0
2,6,-1,-1,1,-31,-1,-30,0,-3,3,-1,-1,1,0,0,0
2,6,1,1,1,31,1,30,0,3,-3,1,1,1,0,0,0
2,6,-1,-1,1,0,-1,-31,-31,-3,3,24,-1,0,0,0,1
2,6,1,1,1,0,1,31,31,3,-3,-24,1,0,0,0,1
2,6,-1,-1,1,-31,-1,-31,-31,-1,3,24,-1,1,0,0,1
2,6,1,1,1,31,1,31,31,1,-3,-24,1,1,0,0,1
2,6,-1,-1,0,-2,-1,-30,-2,0,8,0,-1,1,1,1,0
2,6,1,1,0,2,1,30,2,0,-8,0,1,1,1,1,0
2,7,-1,-1,1,-31,-1,-30,0,-2,1,-3,-1,1,0,1,0
2,7,1,1,1,31,1,30,0,2,-1,3,1,1,0,1,0
2,7,-1,-1,1,0,-1,-31,-31,-6,-1,-27,-1,0,0,1,0
2,7,1,1,1,0,1,31,31,6,1,27,1,0,0,1,0
2,7,-1,-1,1,-31,-1,-31,-31,-2,0,-3,-1,1,0,1,0
2,7,1,1,1,31,1,31,31,2,0,3,1,1,0,1,0
2,7,-1,-1,0,-2,-1,-30,-2,-4,5,23,-1,1,1,0,1
2,7,1,1,0,2,1,30,2,4,-5,-23,1,1,1,0,1
2,8,-1,-1,1,-31,-1,-30,0,-6,1,-3,-1,1,0,0,0
2,8,1,1,1,31,1,30,0,6,-1,3,1,1,0,0,0
2,8,-1,-1,1,0,-1,-31,-31,0,3,26,-1,0,0,0,1
2,8,1,1,1,0,1,31,31,0,-3,-26,1,0,0,0,1
2,8,-1,-1,1,-31,-1,-31,-31,-5,1,23,-1,1,0,0,1
2,8,1,1,1,31,1,31,31,5,-1,-23,1,1,0,0,1
2,8,-1,-1,0,-33,-1,-30,-2,-13,-5,-60,-1,1,1,1,0
2,8,1,1,0,33,1,30,2,13,5,60,1,1,1,1,0
